id,angle
0,159
1,108
2,170
3,303
4,315
5,348
6,321
7,7
8,35
9,313
10,284
11,239
12,12
13,9
14,9
15,216
16,11
17,92
18,320
19,55
20,322
21,46
22,200
23,13
24,300
25,111
26,286
27,305
28,305
29,138
30,29
31,175
32,166
33,312
34,268
35,41
36,303
37,310
38,17
39,96
40,241
41,285
42,85
43,13
44,12
45,333
46,11
47,52
48,343
49,302
50,12
51,312
52,309
53,233
54,15
55,61
56,159
57,171
58,316
59,319
60,140
61,328
62,125
63,34
64,97
65,155
66,87
67,67
68,261
69,347
70,292
71,11
72,22
73,314
74,44
75,304
76,296
77,230
78,27
79,306
80,29
81,23
82,57
83,127
84,215
85,75
86,313
87,35
88,14
89,119
90,124
91,299
92,14
93,169
94,140
95,188
96,137
97,38
98,216
99,110
100,307
101,8
102,156
103,161
104,66
105,130
106,125
107,160
108,355
109,143
110,278
111,20
112,319
113,14
114,53
115,321
116,57
117,155
118,229
119,166
120,9
121,16
122,172
123,149
124,109
125,127
126,155
127,32
128,229
129,320
130,314
131,105
132,263
133,43
134,246
135,159
136,320
137,10
138,217
139,304
140,298
141,314
142,77
143,14
144,13
145,306
146,133
147,117
148,98
149,81
150,106
151,31
152,158
153,81
154,11
155,141
156,180
157,267
158,220
159,325
160,342
161,195
162,28
163,181
164,1
165,310
166,13
167,2
168,202
169,353
170,246
171,266
172,57
173,208
174,14
175,344
176,296
177,119
178,122
179,97
180,14
181,155
182,324
183,14
184,13
185,35
186,291
187,218
188,104
189,255
190,28
191,208
192,95
193,6
194,166
195,335
196,60
197,150
198,224
199,326
200,34
201,33
202,188
203,65
204,64
205,311
206,33
207,60
208,11
209,91
210,140
211,138
212,353
213,34
214,6
215,9
216,112
217,61
218,147
219,312
220,319
221,59
222,15
223,48
224,288
225,72
226,140
227,199
228,167
229,12
230,201
231,31
232,127
233,334
234,124
235,345
236,41
237,56
238,163
239,216
240,11
241,45
242,11
243,120
244,303
245,124
246,94
247,260
248,13
249,277
250,78
251,151
252,310
253,338
254,107
255,27
256,90
257,221
258,69
259,54
260,12
261,243
262,286
263,257
264,12
265,280
266,101
267,125
268,335
269,359
270,279
271,15
272,190
273,177
274,215
275,22
276,245
277,229
278,59
279,105
280,312
281,213
282,171
283,107
284,206
285,68
286,241
287,14
288,164
289,328
290,346
291,207
292,21
293,190
294,261
295,222
296,111
297,178
298,191
299,154
300,324
301,195
302,309
303,162
304,118
305,138
306,154
307,311
308,245
309,328
310,282
311,211
312,97
313,80
314,336
315,30
316,333
317,23
318,12
319,165
320,149
321,162
322,307
323,267
324,206
325,72
326,226
327,211
328,350
329,100
330,32
331,124
332,27
333,129
334,99
335,99
336,14
337,154
338,3
339,90
340,206
341,1
342,298
343,156
344,196
345,192
346,31
347,133
348,133
349,126
350,37
351,10
352,10
353,40
354,246
355,251
356,235
357,284
358,153
359,46
360,74
361,41
362,41
363,142
364,134
365,113
366,311
367,252
368,5
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
