id,angle
0,"tensor(307, dtype=torch.int32)"
1,"tensor(88, dtype=torch.int32)"
2,"tensor(150, dtype=torch.int32)"
3,"tensor(298, dtype=torch.int32)"
4,"tensor(310, dtype=torch.int32)"
5,"tensor(337, dtype=torch.int32)"
6,"tensor(282, dtype=torch.int32)"
7,"tensor(314, dtype=torch.int32)"
8,"tensor(32, dtype=torch.int32)"
9,"tensor(295, dtype=torch.int32)"
10,"tensor(266, dtype=torch.int32)"
11,"tensor(230, dtype=torch.int32)"
12,"tensor(84, dtype=torch.int32)"
13,"tensor(114, dtype=torch.int32)"
14,"tensor(270, dtype=torch.int32)"
15,"tensor(230, dtype=torch.int32)"
16,"tensor(44, dtype=torch.int32)"
17,"tensor(85, dtype=torch.int32)"
18,"tensor(343, dtype=torch.int32)"
19,"tensor(113, dtype=torch.int32)"
20,"tensor(326, dtype=torch.int32)"
21,"tensor(37, dtype=torch.int32)"
22,"tensor(197, dtype=torch.int32)"
23,"tensor(215, dtype=torch.int32)"
24,"tensor(281, dtype=torch.int32)"
25,"tensor(115, dtype=torch.int32)"
26,"tensor(286, dtype=torch.int32)"
27,"tensor(323, dtype=torch.int32)"
28,"tensor(281, dtype=torch.int32)"
29,"tensor(112, dtype=torch.int32)"
30,"tensor(337, dtype=torch.int32)"
31,"tensor(355, dtype=torch.int32)"
32,"tensor(108, dtype=torch.int32)"
33,"tensor(21, dtype=torch.int32)"
34,"tensor(210, dtype=torch.int32)"
35,"tensor(300, dtype=torch.int32)"
36,"tensor(295, dtype=torch.int32)"
37,"tensor(9, dtype=torch.int32)"
38,"tensor(31, dtype=torch.int32)"
39,"tensor(117, dtype=torch.int32)"
40,"tensor(252, dtype=torch.int32)"
41,"tensor(280, dtype=torch.int32)"
42,"tensor(95, dtype=torch.int32)"
43,"tensor(97, dtype=torch.int32)"
44,"tensor(13, dtype=torch.int32)"
45,"tensor(326, dtype=torch.int32)"
46,"tensor(343, dtype=torch.int32)"
47,"tensor(64, dtype=torch.int32)"
48,"tensor(0, dtype=torch.int32)"
49,"tensor(293, dtype=torch.int32)"
50,"tensor(56, dtype=torch.int32)"
51,"tensor(311, dtype=torch.int32)"
52,"tensor(311, dtype=torch.int32)"
53,"tensor(227, dtype=torch.int32)"
54,"tensor(103, dtype=torch.int32)"
55,"tensor(54, dtype=torch.int32)"
56,"tensor(128, dtype=torch.int32)"
57,"tensor(196, dtype=torch.int32)"
58,"tensor(312, dtype=torch.int32)"
59,"tensor(293, dtype=torch.int32)"
60,"tensor(140, dtype=torch.int32)"
61,"tensor(339, dtype=torch.int32)"
62,"tensor(147, dtype=torch.int32)"
63,"tensor(16, dtype=torch.int32)"
64,"tensor(75, dtype=torch.int32)"
65,"tensor(144, dtype=torch.int32)"
66,"tensor(95, dtype=torch.int32)"
67,"tensor(77, dtype=torch.int32)"
68,"tensor(256, dtype=torch.int32)"
69,"tensor(349, dtype=torch.int32)"
70,"tensor(298, dtype=torch.int32)"
71,"tensor(68, dtype=torch.int32)"
72,"tensor(291, dtype=torch.int32)"
73,"tensor(321, dtype=torch.int32)"
74,"tensor(60, dtype=torch.int32)"
75,"tensor(304, dtype=torch.int32)"
76,"tensor(302, dtype=torch.int32)"
77,"tensor(210, dtype=torch.int32)"
78,"tensor(169, dtype=torch.int32)"
79,"tensor(15, dtype=torch.int32)"
80,"tensor(29, dtype=torch.int32)"
81,"tensor(30, dtype=torch.int32)"
82,"tensor(147, dtype=torch.int32)"
83,"tensor(128, dtype=torch.int32)"
84,"tensor(86, dtype=torch.int32)"
85,"tensor(82, dtype=torch.int32)"
86,"tensor(353, dtype=torch.int32)"
87,"tensor(38, dtype=torch.int32)"
88,"tensor(356, dtype=torch.int32)"
89,"tensor(131, dtype=torch.int32)"
90,"tensor(91, dtype=torch.int32)"
91,"tensor(315, dtype=torch.int32)"
92,"tensor(354, dtype=torch.int32)"
93,"tensor(171, dtype=torch.int32)"
94,"tensor(137, dtype=torch.int32)"
95,"tensor(242, dtype=torch.int32)"
96,"tensor(150, dtype=torch.int32)"
97,"tensor(21, dtype=torch.int32)"
98,"tensor(60, dtype=torch.int32)"
99,"tensor(48, dtype=torch.int32)"
100,"tensor(86, dtype=torch.int32)"
101,"tensor(6, dtype=torch.int32)"
102,"tensor(146, dtype=torch.int32)"
103,"tensor(171, dtype=torch.int32)"
104,"tensor(100, dtype=torch.int32)"
105,"tensor(35, dtype=torch.int32)"
106,"tensor(138, dtype=torch.int32)"
107,"tensor(182, dtype=torch.int32)"
108,"tensor(326, dtype=torch.int32)"
109,"tensor(125, dtype=torch.int32)"
110,"tensor(221, dtype=torch.int32)"
111,"tensor(162, dtype=torch.int32)"
112,"tensor(304, dtype=torch.int32)"
113,"tensor(164, dtype=torch.int32)"
114,"tensor(163, dtype=torch.int32)"
