epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.9228,2.21601,0.49864,0.91328,1.4965,0.00332518,0.00332518,0.00332518
2,65.3046,1.46205,0.6206,0.94309,1.16878,0.0065926,0.0065926,0.0065926
3,93.5089,1.27009,0.5393,0.92683,1.29769,0.00979401,0.00979401,0.00979401
4,121.575,1.21889,0.65312,0.95122,1.09485,0.009703,0.009703,0.009703
5,149.395,1.09996,0.57182,0.91599,1.46472,0.009604,0.009604,0.009604
6,175.594,1.00507,0.72358,0.96477,0.84001,0.009505,0.009505,0.009505
7,203.52,0.91717,0.53388,0.91057,1.67684,0.009406,0.009406,0.009406
8,231.61,0.82601,0.77507,0.98374,0.68549,0.009307,0.009307,0.009307
9,259.762,0.75456,0.80488,0.98103,0.59407,0.009208,0.009208,0.009208
10,287.722,0.7243,0.76694,0.98645,0.67063,0.009109,0.009109,0.009109
11,314.01,0.66677,0.79675,0.98103,0.65196,0.00901,0.00901,0.00901
12,342.401,0.63374,0.76423,0.98103,0.68567,0.008911,0.008911,0.008911
13,371.523,0.58607,0.8374,0.98916,0.5142,0.008812,0.008812,0.008812
14,400.89,0.55788,0.85095,0.98645,0.48328,0.008713,0.008713,0.008713
15,429.551,0.55499,0.86179,0.98645,0.46384,0.008614,0.008614,0.008614
16,458.105,0.50802,0.87263,0.98916,0.39624,0.008515,0.008515,0.008515
17,485.002,0.46349,0.84282,0.98645,0.47188,0.008416,0.008416,0.008416
18,513.105,0.44926,0.88889,0.99458,0.38078,0.008317,0.008317,0.008317
19,541.772,0.42702,0.86179,0.98645,0.43001,0.008218,0.008218,0.008218
20,570.39,0.40343,0.88347,0.99729,0.33343,0.008119,0.008119,0.008119
21,598.516,0.38864,0.85366,0.98916,0.42588,0.00802,0.00802,0.00802
22,626.486,0.35968,0.88347,0.99458,0.32773,0.007921,0.007921,0.007921
23,652.986,0.36029,0.86992,0.99458,0.36373,0.007822,0.007822,0.007822
24,680.821,0.33446,0.8916,0.99458,0.39315,0.007723,0.007723,0.007723
25,709.202,0.32371,0.90244,0.99187,0.33814,0.007624,0.007624,0.007624
26,737.739,0.32186,0.90244,0.99729,0.37096,0.007525,0.007525,0.007525
27,766.154,0.28584,0.92141,0.99458,0.30888,0.007426,0.007426,0.007426
28,794.829,0.27433,0.88889,0.99187,0.3376,0.007327,0.007327,0.007327
29,821.802,0.24289,0.89973,0.99729,0.30076,0.007228,0.007228,0.007228
30,849.748,0.27146,0.8916,0.99187,0.37173,0.007129,0.007129,0.007129
31,877.676,0.234,0.88618,0.99458,0.35789,0.00703,0.00703,0.00703
32,905.508,0.26251,0.90244,0.99458,0.36265,0.006931,0.006931,0.006931
33,933.535,0.23918,0.88889,0.99729,0.33898,0.006832,0.006832,0.006832
34,961.594,0.21347,0.90244,0.99458,0.34185,0.006733,0.006733,0.006733
35,988.946,0.2097,0.90244,0.99729,0.3552,0.006634,0.006634,0.006634
36,1017.73,0.19932,0.90786,0.99729,0.2589,0.006535,0.006535,0.006535
37,1046.03,0.20197,0.90786,0.99729,0.28366,0.006436,0.006436,0.006436
38,1074.24,0.19799,0.90786,0.99729,0.28016,0.006337,0.006337,0.006337
39,1102.52,0.18004,0.92683,0.99187,0.28871,0.006238,0.006238,0.006238
40,1130.9,0.1821,0.92412,0.99458,0.27497,0.006139,0.006139,0.006139
41,1157.31,0.15848,0.92954,0.99458,0.22793,0.00604,0.00604,0.00604
42,1186.39,0.16847,0.93225,0.99458,0.24015,0.005941,0.005941,0.005941
43,1214.6,0.16214,0.93225,0.99187,0.21034,0.005842,0.005842,0.005842
44,1243.08,0.1533,0.95122,0.99187,0.21445,0.005743,0.005743,0.005743
45,1271.52,0.15196,0.92954,1,0.25883,0.005644,0.005644,0.005644
46,1301.15,0.14328,0.94038,0.99458,0.21234,0.005545,0.005545,0.005545
47,1328.06,0.12756,0.92683,0.99187,0.24977,0.005446,0.005446,0.005446
48,1356.26,0.14507,0.91599,0.99458,0.30795,0.005347,0.005347,0.005347
49,1384.96,0.12907,0.94309,0.99458,0.21521,0.005248,0.005248,0.005248
50,1412.89,0.112,0.95393,0.99729,0.26664,0.005149,0.005149,0.005149
51,1441.9,0.12564,0.92141,0.99458,0.32864,0.00505,0.00505,0.00505
52,1470.16,0.09804,0.94309,0.99187,0.24828,0.004951,0.004951,0.004951
53,1496.6,0.09901,0.94851,0.99729,0.21813,0.004852,0.004852,0.004852
54,1525.5,0.10677,0.93767,0.99729,0.21364,0.004753,0.004753,0.004753
55,1554.55,0.09452,0.93225,0.99729,0.22998,0.004654,0.004654,0.004654
56,1582.58,0.08983,0.93496,0.99458,0.22789,0.004555,0.004555,0.004555
57,1611.18,0.08774,0.94851,0.99729,0.21819,0.004456,0.004456,0.004456
58,1640.71,0.08793,0.93225,0.99458,0.25542,0.004357,0.004357,0.004357
59,1667.15,0.08427,0.94038,0.99458,0.23475,0.004258,0.004258,0.004258
60,1696.61,0.08536,0.94309,0.99458,0.2586,0.004159,0.004159,0.004159
61,1725.58,0.07104,0.93767,0.99458,0.24135,0.00406,0.00406,0.00406
62,1753.18,0.06932,0.92954,0.99458,0.253,0.003961,0.003961,0.003961
63,1782.39,0.08035,0.93496,0.99729,0.19637,0.003862,0.003862,0.003862
64,1810.18,0.07325,0.9458,0.99458,0.18337,0.003763,0.003763,0.003763
65,1836.5,0.07235,0.95122,0.99729,0.2106,0.003664,0.003664,0.003664
66,1864.49,0.07559,0.95393,0.99729,0.20665,0.003565,0.003565,0.003565
67,1892.42,0.06226,0.95122,0.99187,0.23196,0.003466,0.003466,0.003466
68,1920.81,0.05491,0.94851,0.99458,0.2151,0.003367,0.003367,0.003367
69,1949.71,0.05709,0.94309,0.99729,0.1924,0.003268,0.003268,0.003268
70,1978.98,0.05835,0.93225,0.99458,0.21,0.003169,0.003169,0.003169
71,2009.65,0.05011,0.94038,0.99458,0.2239,0.00307,0.00307,0.00307
72,2037.04,0.0518,0.94851,0.99458,0.23333,0.002971,0.002971,0.002971
73,2065.53,0.05192,0.95393,0.99458,0.23615,0.002872,0.002872,0.002872
74,2094.15,0.05271,0.95122,0.99187,0.21705,0.002773,0.002773,0.002773
75,2123.28,0.04701,0.94309,0.99729,0.20119,0.002674,0.002674,0.002674
76,2153.85,0.04254,0.95122,0.99729,0.1823,0.002575,0.002575,0.002575
77,2183.43,0.04187,0.9458,1,0.18766,0.002476,0.002476,0.002476
78,2211.94,0.04312,0.96206,0.99729,0.17722,0.002377,0.002377,0.002377
79,2238.83,0.04434,0.94038,0.99458,0.21851,0.002278,0.002278,0.002278
80,2267.39,0.03773,0.95664,0.99458,0.21343,0.002179,0.002179,0.002179
81,2295.68,0.03855,0.9458,0.99458,0.20104,0.00208,0.00208,0.00208
82,2323.94,0.03001,0.95122,0.99458,0.20654,0.001981,0.001981,0.001981
83,2353.55,0.03769,0.95122,0.99729,0.20601,0.001882,0.001882,0.001882
84,2381.77,0.0334,0.95122,0.99458,0.19384,0.001783,0.001783,0.001783
85,2408.45,0.025,0.95393,0.99458,0.18987,0.001684,0.001684,0.001684
86,2436.6,0.02783,0.95935,0.99729,0.18823,0.001585,0.001585,0.001585
87,2464.85,0.02811,0.95122,0.99729,0.18168,0.001486,0.001486,0.001486
88,2493.37,0.0332,0.9458,0.99729,0.19146,0.001387,0.001387,0.001387
89,2522.1,0.02385,0.95664,0.99729,0.18362,0.001288,0.001288,0.001288
90,2550.56,0.02735,0.95664,0.99729,0.17867,0.001189,0.001189,0.001189
91,2578.33,0.02956,0.95664,0.99729,0.18096,0.00109,0.00109,0.00109
92,2606.35,0.02777,0.95393,0.99729,0.18181,0.000991,0.000991,0.000991
93,2635.43,0.02367,0.95664,0.99729,0.18159,0.000892,0.000892,0.000892
94,2663.45,0.02475,0.96206,0.99729,0.17459,0.000793,0.000793,0.000793
95,2691.53,0.0234,0.96206,0.99729,0.1926,0.000694,0.000694,0.000694
96,2719.61,0.02133,0.96206,0.99729,0.17029,0.000595,0.000595,0.000595
97,2746.31,0.02451,0.96477,0.99729,0.18255,0.000496,0.000496,0.000496
98,2774.53,0.02386,0.96206,0.99729,0.21708,0.000397,0.000397,0.000397
99,2802.77,0.02236,0.96206,0.99729,0.17755,0.000298,0.000298,0.000298
100,2830.92,0.02046,0.96206,0.99729,0.18046,0.000199,0.000199,0.000199
